Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,12_L,0,1043.4244,332.08435,1043.4475,332.10803,-0.023071289,-0.02368164,0.0330621306285164
Camera L,12_L,1,1068.0543,360.59378,1068.0482,360.61545,0.0061035156,-0.02166748,0.02251072217518314
Camera L,12_L,2,1093.1888,389.64102,1093.1622,389.62796,0.026611328,0.013061523,0.02964399060660993
Camera L,12_L,3,1118.8555,419.2544,1118.7734,419.29544,0.08203125,-0.041046143,0.0917273775767424
Camera L,12_L,4,1145.0831,449.46472,1145.0714,449.49832,0.01171875,-0.033599854,0.03558481779964537
Camera L,12_L,5,1171.9022,480.30542,1171.8906,480.3541,0.01159668,-0.048675537,0.05003789456662438
Camera L,12_L,6,1199.344,511.81204,1199.3418,511.78885,0.0021972656,0.02319336,0.023297207886884365
Camera L,12_L,7,1227.4401,544.02185,1227.5116,544.00946,-0.0715332,0.012390137,0.0725983101541064
Camera L,12_L,8,1256.2217,576.9732,1256.2836,576.85925,-0.06188965,0.11395264,0.12967471611255896
Camera L,12_L,9,1010.86676,352.29007,1010.8749,352.3178,-0.008117676,-0.027740479,0.02890381996147473
Camera L,12_L,10,1035.3313,381.17755,1035.4045,381.16824,-0.07324219,0.009307861,0.07383125565970526
Camera L,12_L,11,1060.2948,410.61438,1060.2633,410.59787,0.03149414,0.01651001,0.03555926484291131
Camera L,12_L,12,1085.7848,440.62994,1085.7762,440.63605,0.008544922,-0.0061035156,0.010500885335745395
Camera L,12_L,13,1111.8304,471.2564,1111.7876,471.33136,0.04284668,-0.07495117,0.08633374847462037
Camera L,12_L,14,1138.4629,502.52856,1138.4271,502.5458,0.0357666,-0.017242432,0.0397058085953712
Camera L,12_L,15,1165.714,534.48346,1165.646,534.46497,0.067993164,0.018493652,0.07046336307785438
Camera L,12_L,16,1193.6167,567.16,1193.5844,567.1517,0.032348633,0.008300781,0.03339666172236835
Camera L,12_L,17,1222.2035,600.59827,1222.259,600.55334,-0.055541992,0.044921875,0.07143449971597712
Camera L,12_L,18,977.912,372.72943,977.8879,372.73654,0.024108887,-0.0071105957,0.025135611989184188
Camera L,12_L,19,1002.2107,402.00455,1002.15515,401.9727,0.055541992,0.03186035,0.06403120253315885
Camera L,12_L,20,1027.0022,431.84134,1026.9972,431.77994,0.005004883,0.061401367,0.06160500583930708
Camera L,12_L,21,1052.3141,462.2703,1052.3334,462.28778,-0.01928711,-0.017486572,0.02603406994006389
Camera L,12_L,22,1078.1757,493.3249,1078.2294,493.3438,-0.053710938,-0.018920898,0.05694616058006981
