Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera R,81_R,0,1162.3333,68.562294,1162.3815,68.573586,-0.048217773,-0.011291504,0.049522234761114524
Camera R,81_R,1,1185.9712,94.07209,1186.0065,94.08915,-0.03527832,-0.017059326,0.03918648355632041
Camera R,81_R,2,1210.1306,120.14562,1210.1929,120.14738,-0.06225586,-0.0017547607,0.06228058454913616
Camera R,81_R,3,1234.8301,146.7993,1234.7502,146.82037,0.079833984,-0.021072388,0.08256821776185617
Camera R,81_R,4,1260.0889,174.05103,1260.059,174.03104,0.029907227,0.019989014,0.03597225136456031
Camera R,81_R,5,1285.9277,201.9203,1285.9194,201.90617,0.008300781,0.014129639,0.016387484808783107
Camera R,81_R,6,1312.3683,230.42838,1312.4185,230.42856,-0.0501709,-0.00018310547,0.050171232570454416
Camera R,81_R,7,1339.4327,259.59808,1339.4457,259.5386,-0.012939453,0.05947876,0.060869962300226566
Camera R,81_R,8,1367.1438,289.4541,1367.1721,289.42606,-0.028320312,0.028045654,0.03985723052392726
Camera R,81_R,9,1130.9321,95.77302,1130.9192,95.78714,0.012939453,-0.014122009,0.019153605227305255
Camera R,81_R,10,1154.1089,121.46597,1154.1454,121.498985,-0.036499023,-0.03301239,0.04921378480090817
Camera R,81_R,11,1177.7941,147.7206,1177.7616,147.71895,0.032470703,0.0016479492,0.03251249449149455
Camera R,81_R,12,1202.0057,174.55333,1201.9639,174.57765,0.041870117,-0.02432251,0.04842201146786352
Camera R,81_R,13,1226.7633,201.98221,1226.7294,202.01526,0.033935547,-0.033050537,0.0473704480126956
Camera R,81_R,14,1252.087,230.0269,1252.1375,229.9681,-0.05041504,0.058807373,0.07745955905082162
Camera R,81_R,15,1277.9985,258.70883,1277.9624,258.70633,0.036132812,0.0025024414,0.036219364325618286
Camera R,81_R,16,1304.52,288.05115,1304.5217,288.06345,-0.0017089844,-0.012298584,0.01241675463294332
Camera R,81_R,17,1331.6747,318.07883,1331.6482,318.08932,0.026489258,-0.010498047,0.028493679433284666
Camera R,81_R,18,1099.828,122.745476,1099.8033,122.68798,0.024658203,0.057495117,0.06255969534579046
Camera R,81_R,19,1122.552,148.61372,1122.5012,148.63914,0.05078125,-0.025421143,0.056788817926946324
Camera R,81_R,20,1145.7714,175.04173,1145.7572,175.07535,0.014160156,-0.033615112,0.03647582487458189
Camera R,81_R,21,1169.504,202.04607,1169.513,202.02992,-0.008911133,0.016143799,0.018439916719036022
Camera R,81_R,22,1193.7686,229.64487,1193.7152,229.61386,0.053344727,0.03100586,0.061701079144616006
Camera R,81_R,23,1218.5853,257.858,1218.5242,257.85846,0.061157227,-0.00045776367,0.061158939725899794
Camera R,81_R,24,1243.9757,286.70712,1243.9622,286.71628,0.013549805,-0.009155273,0.01635286637824666
Camera R,81_R,25,1269.9619,316.21567,1270.0077,316.238,-0.045776367,-0.022338867,0.05093624230452803
Camera R,81_R,26,1296.5669,346.40894,1296.5554,346.39743,0.011474609,0.011505127,0.01624914171629878
Camera R,81_R,27,1069.0234,149.47173,1068.983,149.46674,0.040405273,0.004989624,0.04071219067373319
Camera R,81_R,28,1091.3035,175.5077,1091.3737,175.5459,-0.07019043,-0.03819275,0.07990858838499881
Camera R,81_R,29,1114.0662,202.10176,1114.0914,202.0808,-0.025268555,0.020965576,0.03283375154035662
Camera R,81_R,30,1137.3285,229.27055,1137.3458,229.23656,-0.017333984,0.033996582,0.03816064208212769
Camera R,81_R,31,1161.1091,257.03244,1161.1715,257.01907,-0.06237793,0.013366699,0.06379400254023278
Camera R,81_R,32,1185.428,285.40744,1185.4199,285.44806,0.008056641,-0.040618896,0.04141019451498353
Camera R,81_R,33,1210.306,314.4175,1210.3228,314.47092,-0.016723633,-0.05340576,0.055962981328796534
Camera R,81_R,34,1235.7653,344.08633,1235.7703,344.09363,-0.005004883,-0.007293701,0.008845729407542866
Camera R,81_R,35,1261.8287,374.43958,1261.813,374.46237,0.01574707,-0.02279663,0.027706616573761354
Camera R,81_R,36,1038.5189,175.94632,1038.522,175.89723,-0.0030517578,0.049087524,0.049182296396643954
Camera R,81_R,37,1060.3639,202.14288,1060.3658,202.16145,-0.001953125,-0.018569946,0.018672375383016783
Camera R,81_R,38,1082.6787,228.89606,1082.6564,228.89345,0.022338867,0.002609253,0.022490735605396436
Camera R,81_R,39,1105.4802,256.2227,1105.4744,256.26474,0.005859375,-0.042053223,0.04245946079693857
Camera R,81_R,40,1128.7864,284.14127,1128.7411,284.16974,0.045288086,-0.0284729,0.05349501644580398
Camera R,81_R,41,1152.6167,312.67212,1152.603,312.665,0.013671875,0.0071105957,0.015410410029227798
Camera R,81_R,42,1176.9917,341.83737,1177.0308,341.82138,-0.0390625,0.015991211,0.04220897693024103
Camera R,81_R,43,1201.9332,371.66104,1201.8821,371.6531,0.05114746,0.00793457,0.051759251988384596
Camera R,81_R,44,1227.4641,402.16904,1227.4934,402.23697,-0.029296875,-0.06793213,0.07398027455005146
Camera R,81_R,45,1008.3125,202.16621,1008.34973,202.18341,-0.037231445,-0.017196655,0.04101104086281064
Camera R,81_R,46,1029.7313,228.51668,1029.6702,228.49184,0.061157227,0.024841309,0.06600982482530061
Camera R,81_R,47,1051.6075,255.42258,1051.6332,255.38475,-0.025634766,0.037826538,0.04569450943182957
Camera R,81_R,48,1073.9575,282.9009,1073.9493,282.8861,0.008178711,0.014801025,0.016910401095571567
Camera R,81_R,49,1096.7988,310.9704,1096.8549,310.97745,-0.056030273,-0.0070495605,0.05647200939744463
Camera R,81_R,50,1120.1503,339.65155,1120.1663,339.59586,-0.015991211,0.05569458,0.057944845131610266
Camera R,81_R,51,1144.032,368.9668,1144.0531,368.95428,-0.021118164,0.012512207,0.02454653087838541
Camera R,81_R,52,1168.4656,398.94043,1168.4805,398.90714,-0.014892578,0.033294678,0.036473613046216234
Camera R,81_R,53,1193.4733,429.59857,1193.4547,429.6195,0.018554688,-0.020935059,0.027974150684987775
Camera R,53_R,0,657.3819,253.68036,657.4082,253.66493,-0.026306152,0.015426636,0.030495815146585614
Camera R,53_R,1,695.35315,244.4389,695.3616,244.43123,-0.008422852,0.007675171,0.011395291868316958
Camera R,53_R,2,733.05084,235.26277,733.0162,235.28201,0.03466797,-0.019241333,0.03964967784444801
Camera R,53_R,3,770.4765,226.14871,770.4884,226.1569,-0.0119018555,-0.00819397,0.014449750983281235
Camera R,53_R,4,807.63324,217.09375,807.56085,216.99776,0.072387695,0.09599304,0.12022746168646
Camera R,53_R,5,844.5252,208.09535,844.5752,208.13623,-0.049987793,-0.040878296,0.06457410101152647
Camera R,53_R,6,881.1573,199.1514,881.14374,199.14561,0.013549805,0.005783081,0.014732319354211761
Camera R,53_R,7,917.5348,190.26031,917.53394,190.3011,0.0008544922,-0.040786743,0.04079569309166959
Camera R,53_R,8,953.66296,181.42113,953.62195,181.49408,0.041015625,-0.07295227,0.08369178732937703
Camera R,53_R,9,665.33417,283.82513,665.3059,283.82986,0.028259277,-0.0047302246,0.0286524306271932
Camera R,53_R,10,703.7226,274.37177,703.73956,274.38916,-0.016967773,-0.01739502,0.024300041973603657
Camera R,53_R,11,741.8285,264.9854,741.8299,265.03113,-0.0014038086,-0.045715332,0.04573688075607385
Camera R,53_R,12,779.65405,255.6628,779.6044,255.59047,0.049682617,0.07232666,0.08774684165232018
Camera R,53_R,13,817.2031,246.40091,817.24915,246.38658,-0.046020508,0.014328003,0.048199365216499555
Camera R,53_R,14,854.48047,237.1971,854.52844,237.29213,-0.047973633,-0.09503174,0.10645421892055089
Camera R,53_R,15,891.4918,228.04921,891.5146,228.063,-0.022766113,-0.013793945,0.02661895642618148
Camera R,53_R,16,928.243,218.9556,928.21747,218.93657,0.025512695,0.01902771,0.031826896934291596
Camera R,53_R,17,964.74,209.91513,964.7598,209.95273,-0.019836426,-0.037597656,0.04250961706800243
Camera R,53_R,18,673.47955,314.68195,673.4381,314.65002,0.04144287,0.031921387,0.05231143751170644
Camera R,53_R,19,712.2929,305.00745,712.34393,305.05725,-0.05102539,-0.049804688,0.07130285678292626
Camera R,53_R,20,750.81464,295.402,750.8093,295.39493,0.0053100586,0.007080078,0.00885009765625
Camera R,53_R,21,789.04767,285.86237,789.08514,285.78622,-0.037475586,0.07614136,0.08486416117186729
Camera R,53_R,22,826.9966,276.38547,827.02045,276.3908,-0.023864746,-0.005340576,0.0244550170714877
Camera R,53_R,23,864.6668,266.9686,864.66235,266.93472,0.0044555664,0.03387451,0.0341662789338294
Camera R,53_R,24,902.0648,257.6095,902.0477,257.546,0.017089844,0.06350708,0.0657663438199874
Camera R,53_R,25,939.19714,248.30644,939.2847,248.34128,-0.08758545,-0.034835815,0.09425892504957549
Camera R,53_R,26,976.0704,239.05818,976.1222,239.08253,-0.051818848,-0.024353027,0.057256116819315306
Camera R,53_R,27,681.82263,346.27356,681.74774,346.32016,0.07489014,-0.04660034,0.08820501365193842
Camera R,53_R,28,721.0691,336.36823,721.1289,336.3753,-0.059814453,-0.007080078,0.06023202062772696
Camera R,53_R,29,760.01483,326.53442,759.98224,326.51886,0.032592773,0.015563965,0.03611822091418252
Camera R,53_R,30,798.66345,316.7689,798.635,316.72977,0.028442383,0.039123535,0.04836962004373329
Camera R,53_R,31,837.02014,307.06854,836.9988,307.06384,0.021362305,0.004699707,0.021873164099900252
Camera R,53_R,32,875.0913,297.43063,875.1326,297.38788,-0.0413208,0.042755127,0.059459309262567005
Camera R,53_R,33,912.884,287.85275,912.79156,287.77332,0.09240723,0.079437256,0.1218580040023675
Camera R,53_R,34,950.4054,278.33307,950.4269,278.31653,-0.021484375,0.016540527,0.027113970825940754
Camera R,53_R,35,987.6629,268.8702,987.6745,268.84543,-0.01159668,0.024780273,0.02735954918144199
Camera R,53_R,36,690.3684,378.62457,690.37537,378.60086,-0.006958008,0.023712158,0.024711946895557203
Camera R,53_R,37,730.0567,368.47824,730.0577,368.5102,-0.0009765625,-0.031951904,0.03196682440457709
Camera R,53_R,38,769.43506,358.40634,769.4452,358.42313,-0.010131836,-0.016784668,0.019605590485512
Camera R,53_R,39,808.50793,348.40567,808.5015,348.44437,0.0064086914,-0.03869629,0.039223387318653394
Camera R,53_R,40,847.28107,338.47308,847.32214,338.45633,-0.04107666,0.01675415,0.04436207349644216
Camera R,53_R,41,885.7617,328.60574,885.7041,328.58398,0.057617188,0.021759033,0.06158892612592667
Camera R,53_R,42,923.9576,318.80118,923.91656,318.67932,0.041015625,0.12185669,0.12857423637189516
Camera R,53_R,43,961.87665,309.05737,961.8715,309.02975,0.005126953,0.027618408,0.02809024955425618
Camera R,53_R,44,999.52686,299.37286,999.50946,299.3953,0.01739502,-0.02243042,0.028385039058705132
Camera R,53_R,45,699.1222,411.7617,699.11615,411.77487,0.0060424805,-0.013183594,0.014502369267821872
Camera R,53_R,46,739.26166,401.3638,739.3163,401.40717,-0.054626465,-0.04336548,0.06974679482395293
Camera R,53_R,47,779.08203,391.04367,779.144,391.1013,-0.061950684,-0.057617188,0.08460276291672206
Camera R,53_R,48,818.58826,380.79813,818.5512,380.75867,0.03704834,0.03945923,0.05412587366709481
Camera R,53_R,49,857.7871,370.62408,857.7755,370.63336,0.01159668,-0.009277344,0.014850996156155288
Camera R,53_R,50,896.6864,360.51862,896.6557,360.55292,0.030700684,-0.034301758,0.046034145611176004
Camera R,53_R,51,935.2947,350.4791,935.30914,350.49844,-0.014465332,-0.019348145,0.024157742601005717
Camera R,53_R,52,973.62054,340.5034,973.6194,340.548,0.001159668,-0.0446167,0.04463176759858556
Camera R,53_R,53,1011.6725,330.5898,1011.64404,330.61008,0.028442383,-0.020263672,0.03492256488161288
Camera R,52_R,0,1265.6729,277.3415,1265.6766,277.4082,-0.0037841797,-0.066711426,0.06681866764366463
Camera R,52_R,1,1292.9539,302.57434,1292.9037,302.5785,0.0501709,-0.0041503906,0.05034227639237252
Camera R,52_R,2,1320.7808,328.30014,1320.7775,328.3007,0.0032958984,-0.0005493164,0.003341361253215575
Camera R,52_R,3,1349.1703,354.53552,1349.1978,354.56424,-0.02746582,-0.028717041,0.03973713288766096
Camera R,52_R,4,1378.1384,381.29788,1378.1527,381.38275,-0.014282227,-0.084869385,0.0860627356413813
Camera R,52_R,5,1407.7004,408.60498,1407.6703,408.6156,0.030151367,-0.010620117,0.0319670429090913
Camera R,52_R,6,1437.8702,436.47473,1437.8247,436.50342,0.045532227,-0.028686523,0.053815427924239975
Camera R,52_R,7,1468.6599,464.9248,1468.6392,464.91043,0.020751953,0.014373779,0.025243793094094826
Camera R,52_R,8,1500.0792,493.97226,1500.1228,493.90482,-0.0435791,0.06744385,0.08029826075124011
Camera R,52_R,9,1236.8591,297.2125,1236.8057,297.26532,0.053466797,-0.052825928,0.07516167247387408
Camera R,52_R,10,1264.0614,322.82947,1264.1085,322.79984,-0.04711914,0.029632568,0.0556623977278338
Camera R,52_R,11,1291.8137,348.95013,1291.8489,348.90607,-0.03515625,0.044067383,0.05637283159471343
Camera R,52_R,12,1320.1334,375.59198,1320.1714,375.5463,-0.037963867,0.045684814,0.05939997881688678
Camera R,52_R,13,1349.0378,402.77316,1349.1259,402.734,-0.088012695,0.039154053,0.09632899034920472
Camera R,52_R,14,1378.5435,430.51242,1378.5253,430.54816,0.018188477,-0.035736084,0.04009848349006375
Camera R,52_R,15,1408.6655,458.82855,1408.6464,458.84332,0.019165039,-0.014770508,0.0241964175717455
Camera R,52_R,16,1439.4177,487.74026,1439.3967,487.7384,0.020996094,0.0018615723,0.021078458294166897
Camera R,52_R,17,1470.8112,517.2655,1470.8558,517.2956,-0.044677734,-0.030090332,0.05386583361124124
Camera R,52_R,18,1207.6122,317.38425,1207.6256,317.3849,-0.013427734,-0.00064086914,0.01344301914381446
Camera R,52_R,19,1234.729,343.39417,1234.6799,343.40396,0.049072266,-0.009796143,0.05004050022713113
Camera R,52_R,20,1262.399,369.91904,1262.415,369.8593,-0.015991211,0.0597229,0.06182672284955863
Camera R,52_R,21,1290.641,396.97714,1290.6437,396.95853,-0.0026855469,0.018615723,0.018808436724838187
Camera R,52_R,22,1319.4728,424.5876,1319.474,424.5944,-0.0012207031,-0.00680542,0.006914033297029882
Camera R,52_R,23,1348.9125,452.76993,1348.9042,452.7491,0.008300781,0.020812988,0.0224072187153114
Camera R,52_R,24,1378.9764,481.54407,1378.8843,481.57904,0.092163086,-0.034973145,0.09857563212035067
Camera R,52_R,25,1409.6799,510.92963,1409.6611,510.8996,0.018798828,0.030029297,0.03542816125175248
Camera R,52_R,26,1441.0355,540.94556,1441.0352,540.87915,0.00036621094,0.06640625,0.06640725976512843
Camera R,52_R,27,1177.926,337.86017,1177.9818,337.81506,-0.055786133,0.04510498,0.07173947223990575
Camera R,52_R,28,1204.9509,364.27216,1205.0115,364.25864,-0.060546875,0.013519287,0.06203785293037903
Camera R,52_R,29,1232.532,391.21088,1232.556,391.18347,-0.024047852,0.027404785,0.0364598603155889
Camera R,52_R,30,1260.6882,418.69543,1260.6375,418.6915,0.05078125,0.0039367676,0.050933618470777
Camera R,52_R,31,1289.4391,446.74585,1289.4822,446.69113,-0.04309082,0.054718018,0.06964826087479974
Camera R,52_R,32,1318.8035,475.3827,1318.7537,475.38126,0.049804688,0.0014343262,0.04982533681311128
Camera R,52_R,33,1348.7993,504.6268,1348.8129,504.58908,-0.013549805,0.037719727,0.040079608019779396
Camera R,52_R,34,1379.4431,534.4989,1379.4219,534.4931,0.021240234,0.00579834,0.02201745446795679
Camera R,52_R,35,1410.7491,565.0189,1410.7631,565.0234,-0.013916016,-0.0044555664,0.014611897990190996
Camera R,52_R,36,1147.7936,358.6446,1147.7936,358.64658,0.0,-0.0019836426,0.001983642578125
Camera R,52_R,37,1174.7206,385.4681,1174.6586,385.47656,0.06201172,-0.008453369,0.06258524356553047
Camera R,52_R,38,1202.2057,412.8307,1202.167,412.8511,0.03869629,-0.02041626,0.043751873674461476
Camera R,52_R,39,1230.269,440.7523,1230.232,440.73834,0.036987305,0.013946533,0.039529311863879285
Camera R,52_R,40,1258.9309,469.25388,1258.8706,469.27994,0.060302734,-0.026062012,0.06569359350751083
Camera R,52_R,41,1288.2112,498.35703,1288.2422,498.38846,-0.03100586,-0.031433105,0.04415204904635612
Camera R,52_R,42,1318.1292,528.0836,1318.1814,528.09766,-0.052246094,-0.014038086,0.05409918824642773
Camera R,52_R,43,1348.7026,558.4554,1348.7411,558.46857,-0.03845215,-0.013183594,0.0406494140625
Camera R,52_R,44,1379.9475,589.4932,1379.9528,589.4837,-0.0052490234,0.009521484,0.010872484157302482
Camera R,52_R,45,1117.206,379.743,1117.2314,379.6929,-0.025390625,0.050109863,0.056175459374678834
Camera R,52_R,46,1144.0294,406.9879,1144.0449,407.02643,-0.01550293,-0.038513184,0.04151633581400776
Camera R,52_R,47,1171.4124,434.7848,1171.4287,434.76703,-0.016357422,0.01776123,0.0241459428923532
Camera R,52_R,48,1199.3759,463.15448,1199.4302,463.17334,-0.05432129,-0.018859863,0.05750214681556789
Camera R,52_R,49,1227.9409,492.1189,1227.8854,492.17267,0.055541992,-0.053771973,0.07730677809546074
Camera R,52_R,50,1257.1287,521.7006,1257.0841,521.71405,0.044555664,-0.013427734,0.046535053996916244
Camera R,52_R,51,1286.9595,551.92267,1287.0056,551.92804,-0.046142578,-0.0053710938,0.046454129677489575
Camera R,52_R,52,1317.4524,582.80774,1317.431,582.77936,0.021362305,0.028381348,0.03552251337316255
Camera R,52_R,53,1348.625,614.3778,1348.6271,614.4636,-0.0020751953,-0.08581543,0.0858405172866245
Camera R,14_R,0,1249.2971,636.5661,1249.2855,636.5913,0.01159668,-0.02520752,0.02774710833028958
Camera R,14_R,1,1187.5112,597.78503,1187.4855,597.7321,0.025756836,0.05291748,0.05885298919062505
Camera R,14_R,2,1127.4039,560.0439,1127.381,560.08453,0.022949219,-0.040649414,0.046680204636011656
Camera R,14_R,3,1068.8998,523.2925,1068.874,523.4042,0.025756836,-0.111694336,0.11462564843014147
Camera R,14_R,4,1011.9161,487.47778,1011.9206,487.52737,-0.0045166016,-0.049591064,0.04979631877225841
Camera R,14_R,5,956.36957,452.54813,956.39886,452.60916,-0.029296875,-0.061035156,0.06770226867120141
Camera R,14_R,6,902.1829,418.4567,902.2169,418.5148,-0.033996582,-0.05810547,0.06732022792938788
Camera R,14_R,7,849.288,385.1635,849.2939,385.17743,-0.005859375,-0.013916016,0.015099263765689675
Camera R,14_R,8,797.62836,352.63644,797.6649,352.58292,-0.03656006,0.053527832,0.064821807182029
Camera R,14_R,9,1285.9562,583.245,1285.9382,583.25964,0.017944336,-0.0146484375,0.023164108302053423
