NumberOfImages,ReprojectionError,Images
5,0.06115644543055972,"['17_L', '15_L', '11_L', '13_L', '14_L']"
6,0.056454070597719126,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L']"
7,0.056862449293162504,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L']"
8,0.057577556141468283,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L']"
9,0.05821935312122812,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L']"
10,0.05911873844745352,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L', '16_L']"
11,0.059890361427901884,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L', '16_L', '9_L']"
12,0.06071162707089556,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L', '16_L', '9_L', '12_L']"
13,0.06162482662866978,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L', '16_L', '9_L', '12_L', '5_L']"
14,0.0624793182859215,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L', '16_L', '9_L', '12_L', '5_L', '1_L']"
15,0.0634559293102329,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L', '16_L', '9_L', '12_L', '5_L', '1_L', '13_L']"
16,0.0643656967801676,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L', '16_L', '9_L', '12_L', '5_L', '1_L', '13_L', '18_L']"
17,0.06525904008382102,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L', '16_L', '9_L', '12_L', '5_L', '1_L', '13_L', '18_L', '10_L']"
18,0.06605985193370986,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L', '16_L', '9_L', '12_L', '5_L', '1_L', '13_L', '18_L', '10_L', '19_L']"
19,0.07162629130074713,"['3_L', '6_L', '7_L', '2_L', '4_L', '11_L', '14_L', '17_L', '15_L', '16_L', '9_L', '12_L', '5_L', '1_L', '13_L', '18_L', '10_L', '19_L', '8_L']"
