Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,3_L,0,1075.2272,351.3711,1075.2601,351.48,-0.032958984,-0.10891724,0.11379481104333417
Camera L,3_L,1,1119.122,374.85577,1119.1599,374.84183,-0.037963867,0.013946533,0.040444542279719366
Camera L,3_L,2,1164.6941,399.17252,1164.6794,399.19565,0.0146484375,-0.023132324,0.027380305786327042
Camera L,3_L,3,1212.0728,424.38986,1212.0841,424.42413,-0.011352539,-0.03427124,0.036102604481779876
Camera L,3_L,4,1261.3926,450.58307,1261.3158,450.62698,0.07678223,-0.043914795,0.08845348794098183
Camera L,3_L,5,1312.7897,477.83298,1312.7213,477.81592,0.068359375,0.017059326,0.07045583552715165
Camera L,3_L,6,1366.3953,506.22388,1366.3795,506.30203,0.01574707,-0.07815552,0.07972612590193646
Camera L,3_L,7,1422.3276,535.84033,1422.3818,535.78796,-0.05419922,0.052368164,0.0753656415111506
Camera L,3_L,8,1480.6808,566.7628,1480.6632,566.7088,0.017578125,0.054016113,0.05680432177685477
Camera L,3_L,9,1041.6968,378.03412,1041.7391,378.06186,-0.0423584,-0.027740479,0.05063366534693943
Camera L,3_L,10,1085.8303,402.4845,1085.7762,402.45886,0.05407715,0.025634766,0.059845460912086645
Camera L,3_L,11,1131.6722,427.8217,1131.6387,427.79276,0.033569336,0.028930664,0.04431572676129726
Camera L,3_L,12,1179.3604,454.12042,1179.3417,454.06354,0.018676758,0.056884766,0.05987234622593273
Camera L,3_L,13,1229.0405,481.46295,1228.9923,481.4693,0.048217773,-0.0063476562,0.048633799102458
Camera L,3_L,14,1280.8623,509.93784,1280.8483,509.8706,0.014038086,0.067230225,0.068680207904575
Camera L,3_L,15,1334.9727,539.6376,1335.0107,539.6331,-0.038085938,0.0044555664,0.038345673905336566
Camera L,3_L,16,1391.507,570.65497,1391.4634,570.6597,0.0435791,-0.004760742,0.04383837085442994
Camera L,3_L,17,1450.5779,603.078,1450.564,603.0986,0.013916016,-0.020568848,0.02483410930114598
Camera L,3_L,18,1006.85046,405.73218,1006.8571,405.76498,-0.006652832,-0.032806396,0.033474166521752835
Camera L,3_L,19,1051.2201,431.208,1051.2345,431.22012,-0.014404297,-0.0121154785,0.01882202401777518
Camera L,3_L,20,1097.3273,457.631,1097.361,457.56018,-0.033691406,0.0708313,0.07843585754475871
Camera L,3_L,21,1145.3182,485.08282,1145.3392,485.0615,-0.020996094,0.021331787,0.02993127284360768
Camera L,3_L,22,1195.3499,513.6537,1195.3464,513.59906,0.0034179688,0.054626465,0.05473329125588403
Camera L,3_L,23,1247.585,543.44086,1247.5837,543.4318,0.0012207031,0.009033203,0.009115309913376207
Camera L,3_L,24,1302.1868,574.54614,1302.2499,574.5189,-0.06311035,0.02722168,0.06873089785061152
Camera L,3_L,25,1359.3088,607.0716,1359.2869,607.0989,0.021972656,-0.027282715,0.03503061735005594
Camera L,3_L,26,1419.0831,641.1135,1419.1277,641.20404,-0.044555664,-0.09051514,0.10088705157384846
Camera L,3_L,27,970.58966,434.5408,970.54486,434.55386,0.044799805,-0.013061523,0.04666503931795739
Camera L,3_L,28,1015.194,461.10718,1015.2957,461.0827,-0.101745605,0.024475098,0.10464797483700057
Camera L,3_L,29,1061.5636,488.68723,1061.5591,488.6037,0.0045166016,0.08352661,0.08364863710565784
Camera L,3_L,30,1109.8527,517.3704,1109.8512,517.34534,0.0014648438,0.02508545,0.025128181981958007
Camera L,3_L,31,1160.2284,547.25586,1160.2662,547.2309,-0.037841797,0.024963379,0.045334003541996674
Camera L,3_L,32,1212.8674,578.4507,1212.8433,578.41113,0.024169922,0.03955078,0.046351369137588104
Camera L,3_L,33,1267.949,611.06714,1267.9154,611.0468,0.033569336,0.020324707,0.03924275769095327
Camera L,3_L,34,1325.6453,645.21765,1325.6063,645.1957,0.03894043,0.021972656,0.04471190766370627
Camera L,3_L,35,1386.1086,681.0079,1386.1495,680.99835,-0.040893555,0.009521484,0.041987396676656706
Camera L,3_L,36,932.80023,464.54764,932.73083,464.617,0.06939697,-0.069366455,0.0981205631045697
Camera L,3_L,37,977.6388,492.2761,977.64703,492.28577,-0.008239746,-0.009674072,0.012707520997031766
Camera L,3_L,38,1024.2694,521.0915,1024.344,521.07074,-0.07458496,0.020751953,0.07741808546167102
Camera L,3_L,39,1072.8535,551.09204,1072.8944,551.07855,-0.040893555,0.0134887695,0.0430607677410277
Camera L,3_L,40,1123.5685,582.38684,1123.5355,582.3794,0.032958984,0.007446289,0.03378967108205999
Camera L,3_L,41,1176.6039,615.0941,1176.5923,615.08276,0.01159668,0.011352539,0.016228466438331857
Camera L,3_L,42,1232.155,649.33765,1232.1549,649.3663,0.00012207031,-0.028625488,0.028625748557918534
Camera L,3_L,43,1290.4135,685.24133,1290.3965,685.27155,0.016967773,-0.030212402,0.03465104025576954
Camera L,3_L,44,1351.552,722.9212,1351.5746,722.97125,-0.022583008,-0.050048828,0.05490789960056046
Camera L,3_L,45,893.35077,495.85413,893.3935,495.85324,-0.04272461,0.00088500977,0.04273377456452437
Camera L,3_L,46,938.42316,524.8239,938.39355,524.8271,0.02960205,-0.0031738281,0.029771707969526114
Camera L,3_L,47,985.3141,554.96136,985.32587,554.98535,-0.011779785,-0.023986816,0.026723223975309417
Camera L,3_L,48,1034.1917,586.3745,1034.2136,586.37933,-0.021972656,-0.0048217773,0.022495491980247175
Camera L,3_L,49,1085.2423,619.18353,1085.2378,619.1848,0.0045166016,-0.0012817383,0.0046949486361406705
Camera L,3_L,50,1138.6686,653.51886,1138.5854,653.49506,0.08312988,0.023803711,0.08647077003714053
Camera L,3_L,51,1194.6814,689.51715,1194.674,689.51587,0.007446289,0.0012817383,0.007555797365197721
Camera L,3_L,52,1253.4912,727.315,1253.4962,727.35175,-0.005004883,-0.036743164,0.03708246158618181
Camera L,3_L,53,1315.2921,767.0393,1315.3312,767.07904,-0.0390625,-0.039733887,0.055719481871500366
Camera L,6_L,0,1163.1013,147.65651,1163.2039,147.6789,-0.10253906,-0.022384644,0.10495394992781033
Camera L,6_L,1,1220.7897,171.90967,1220.8223,171.8525,-0.032592773,0.057174683,0.06581210536614315
Camera L,6_L,2,1281.142,197.16351,1281.2604,197.20306,-0.1184082,-0.03955078,0.12483896372838334
Camera L,6_L,3,1344.3717,223.52095,1344.3917,223.51862,-0.020019531,0.0023345947,0.020155196947859874
Camera L,6_L,4,1410.6887,251.10115,1410.6812,251.151,0.0075683594,-0.049850464,0.050421709723123403
Camera L,6_L,5,1480.2823,280.03745,1480.3494,280.0444,-0.0670166,-0.006958008,0.06737684140493444
Camera L,6_L,6,1553.2988,310.47266,1553.3174,310.51685,-0.018554688,-0.044189453,0.04792686298631727
Camera L,6_L,7,1629.8127,342.551,1629.8181,342.5448,-0.0053710938,0.0061950684,0.008199238992041781
Camera L,6_L,8,1709.7966,376.406,1709.791,376.36057,0.0056152344,0.045440674,0.045786304666791205
Camera L,6_L,9,1131.8983,210.70691,1131.9199,210.69934,-0.021606445,0.0075683594,0.02289363541841277
Camera L,6_L,10,1188.2157,236.00339,1188.1848,236.02774,0.030883789,-0.024353027,0.039330374618892584
Camera L,6_L,11,1247.119,262.33853,1247.0825,262.3214,0.036499023,0.017120361,0.040314829577919986
Camera L,6_L,12,1308.8278,289.8178,1308.7927,289.83167,0.03503418,-0.0138549805,0.037674317912411916
Camera L,6_L,13,1373.5624,318.56183,1373.553,318.55905,0.009399414,0.0027770996,0.00980108498885269
Camera L,6_L,14,1441.5289,348.70377,1441.4779,348.68198,0.05102539,0.02178955,0.055483105642010616
Camera L,6_L,15,1512.8972,380.38425,1512.8206,380.37634,0.076660156,0.007904053,0.07706655309472582
Camera L,6_L,16,1587.7727,413.7427,1587.7466,413.70798,0.026123047,0.034729004,0.043457074111745896
Camera L,6_L,17,1666.1649,448.90497,1666.1617,448.89548,0.0031738281,0.009490967,0.010007578913324877
Camera L,6_L,18,1101.4521,272.23178,1101.4269,272.24973,0.025268555,-0.017944336,0.030991919079544464
Camera L,6_L,19,1156.4463,298.52573,1156.4745,298.51642,-0.028198242,0.009307861,0.029694732613184272
Camera L,6_L,20,1213.9447,325.90164,1213.8436,325.92725,0.10107422,-0.025604248,0.10426684618788828
Camera L,6_L,21,1274.1692,354.46838,1274.1672,354.45474,0.001953125,0.013641357,0.013780469134865081
Camera L,6_L,22,1337.3462,384.34885,1337.3,384.41086,0.046142578,-0.06201172,0.07729547708857763
Camera L,6_L,23,1403.6927,415.67682,1403.6744,415.62866,0.018310547,0.04815674,0.051520360720305344
Camera L,6_L,24,1473.396,448.59128,1473.4065,448.5834,-0.010498047,0.007873535,0.01312255859375
Camera L,6_L,25,1546.5864,483.227,1546.5668,483.2907,0.01965332,-0.0637207,0.06668268895335662
Camera L,6_L,26,1623.3049,519.7017,1623.3322,519.6363,-0.02722168,0.06542969,0.07086652137191797
Camera L,6_L,27,1071.7488,332.27222,1071.655,332.20248,0.09375,0.069732666,0.11684052040985911
Camera L,6_L,28,1125.4747,359.521,1125.4635,359.47498,0.011230469,0.046020508,0.04737098867096928
Camera L,6_L,29,1181.6224,387.89868,1181.5614,387.8123,0.061035156,0.08639526,0.10578011100105122
Camera L,6_L,30,1240.4126,417.51804,1240.3846,417.53354,0.027954102,-0.01550293,0.03196517828922801
Camera L,6_L,31,1302.0737,448.50452,1302.0393,448.47372,0.034423828,0.030792236,0.04618616417139057
Camera L,6_L,32,1366.8287,480.99283,1366.7971,481.07202,0.03161621,-0.079193115,0.08527094636844071
Camera L,6_L,33,1434.8762,515.1203,1434.8984,515.0596,-0.022216797,0.06072998,0.06466619357221953
Camera L,6_L,34,1506.3644,551.017,1506.4008,551.09375,-0.036376953,-0.07672119,0.08490832662026085
Camera L,6_L,35,1581.3604,588.7922,1581.3256,588.7291,0.03479004,0.06304932,0.07201085416286701
Camera L,6_L,36,1042.7559,390.90247,1042.7913,390.8851,-0.03540039,0.017364502,0.0394298565110586
Camera L,6_L,37,1095.2727,419.06848,1095.2881,419.03165,-0.015380859,0.036834717,0.039917003853239166
Camera L,6_L,38,1150.1294,448.41263,1150.1333,448.38937,-0.00390625,0.023254395,0.023580196226442432
Camera L,6_L,39,1207.5433,479.05136,1207.5007,479.101,0.04260254,-0.0496521,0.06542405773254312
Camera L,6_L,40,1267.7417,511.11267,1267.7102,511.1647,0.03149414,-0.05203247,0.060821533203125
Camera L,6_L,41,1330.9487,544.7319,1330.95,544.6807,-0.0012207031,0.05114746,0.05116202572682666
Camera L,6_L,42,1397.3689,580.0442,1397.3763,580.1137,-0.007446289,-0.06951904,0.06991669726247955
Camera L,6_L,43,1467.1625,617.1746,1467.1941,617.22046,-0.03161621,-0.045837402,0.05568350067719623
Camera L,6_L,44,1540.4152,656.2232,1540.3951,656.22516,0.020019531,-0.001953125,0.020114580003951152
