Algorithm,Actual distance,Computed distance,Disparity,Computation time,blocksize
ObjectDetection,35,-,302.5,1.6418406963348389,5
SGBM_LeftDispMap,35,61.94842582405953,205.5625,0.4402449131011963,5
SGBM_PCL_LeftDispMap,35,61.96440505981445,-,0.775763988494873,5
SGBM_FilteredLeftDispMap,35,50.5166560998316,252.5557632446289,0.9740438461303711,5
SGBM_PCL_FilteredLeftDispMap,35,50.52968788146973,-,1.5639581680297852,5
BM_LeftDispMap,35,55.72890700572403,228.46875,0.06300187110900879,5
BM_PCL_LeftDispMap,35,55.743282318115234,-,0.394075870513916,5
BM_FilteredLeftDispMap,35,53.95991561963088,235.97452545166016,0.2102339267730713,5
BM_PCL_FilteredLeftDispMap,35,53.97383499145508,-,0.4962949752807617,5
ObjectDetection,35,-,302.5,1.591064691543579,11
SGBM_LeftDispMap,35,64.17437947341512,198.40625,0.4393129348754883,11
SGBM_PCL_LeftDispMap,35,64.19093322753906,-,0.7701172828674316,11
SGBM_FilteredLeftDispMap,35,49.7437102800568,256.41541290283203,0.9861538410186768,11
SGBM_PCL_FilteredLeftDispMap,35,49.75654220581055,-,1.3038530349731445,11
BM_LeftDispMap,35,57.935992237516764,222.59375,0.07931113243103027,11
BM_PCL_LeftDispMap,35,57.95093536376953,-,0.4233691692352295,11
BM_FilteredLeftDispMap,35,53.21640911706449,239.25507354736328,0.21238398551940918,11
BM_PCL_FilteredLeftDispMap,35,53.23013687133789,-,0.5072743892669678,11
ObjectDetection,35,-,302.5,1.5614190101623535,17
SGBM_LeftDispMap,35,64.14076354052617,198.8125,0.495847225189209,17
SGBM_PCL_LeftDispMap,35,64.15730857849121,-,0.8469069004058838,17
SGBM_FilteredLeftDispMap,35,48.835369005856094,261.0564498901367,1.01055908203125,17
SGBM_PCL_FilteredLeftDispMap,35,48.84796714782715,-,1.324450969696045,17
BM_LeftDispMap,35,54.17763490538714,238.46875,0.07021188735961914,17
BM_PCL_LeftDispMap,35,54.19161033630371,-,0.40386199951171875,17
BM_FilteredLeftDispMap,35,53.78048414873589,236.76959228515625,0.2220468521118164,17
BM_PCL_FilteredLeftDispMap,35,53.794355392456055,-,0.5134389400482178,17
ObjectDetection,35,-,302.5,1.618934154510498,21
SGBM_LeftDispMap,35,63.67269155880924,200.40625,0.46378111839294434,21
SGBM_PCL_LeftDispMap,35,63.68911552429199,-,0.8101098537445068,21
SGBM_FilteredLeftDispMap,35,48.7916339491434,261.2367630004883,0.9781067371368408,21
SGBM_PCL_FilteredLeftDispMap,35,48.80422019958496,-,1.2888970375061035,21
BM_LeftDispMap,35,55.25536239666046,232.6875,0.07581520080566406,21
BM_PCL_LeftDispMap,35,55.269615173339844,-,0.42958617210388184,21
BM_FilteredLeftDispMap,35,54.659484701031616,233.03945922851562,0.22067594528198242,21
BM_PCL_FilteredLeftDispMap,35,54.673583984375,-,0.5294668674468994,21
ObjectDetection,35,-,302.5,1.5361719131469727,35
SGBM_LeftDispMap,35,56.2221521367932,232.75,0.46232008934020996,35
SGBM_PCL_LeftDispMap,35,56.23665428161621,-,0.7955648899078369,35
SGBM_FilteredLeftDispMap,35,49.28164109434074,258.8124313354492,0.9390480518341064,35
SGBM_PCL_FilteredLeftDispMap,35,49.29435348510742,-,1.2209529876708984,35
BM_LeftDispMap,35,57.71163795416788,224.96875,0.10023283958435059,35
BM_PCL_LeftDispMap,35,57.72652244567871,-,0.4362819194793701,35
BM_FilteredLeftDispMap,35,54.74825313797833,232.5855712890625,0.27030301094055176,35
BM_PCL_FilteredLeftDispMap,35,54.76237678527832,-,0.5492069721221924,35
ObjectDetection,40,-,249.0,1.7873611450195312,5
SGBM_LeftDispMap,40,54.93725659312391,236.15625,0.4545581340789795,5
SGBM_PCL_LeftDispMap,40,54.9514274597168,-,0.7954440116882324,5
SGBM_FilteredLeftDispMap,40,50.5241197098661,252.46295166015625,0.9832761287689209,5
SGBM_PCL_FilteredLeftDispMap,40,50.537153244018555,-,1.3205177783966064,5
BM_LeftDispMap,40,59.33720039353015,215.125,0.06178021430969238,5
BM_PCL_LeftDispMap,40,59.35250663757324,-,0.4157388210296631,5
BM_FilteredLeftDispMap,40,52.6233547958672,242.07339477539062,0.19760608673095703,5
